Country Name,Capitol City,Population,GDP,COVID Cases,COVID Deaths,Area
Slovenia,Ljubljana,2078938,53589609581,1018298,7709,20273
Jamaica,Kingston,2961167,13812425037,131704,2991,10991
Indonesia,Jakarta,273523615,1.06E+12,6049876,156438,1904569
Germany,Berlin,83783942,3.85E+12,25661838,137348,357114
Kyrgyz Republic,Bishkek,6524195,7735976273,200993,2991,199951
Bulgaria,Sofia,6948445,69889347433,1161038,37035,110879
Israel,Jerusalem,8655535,4.07E+11,4103140,10751,20770
Mexico,Mexico City,128932753,1.07E+12,5745652,324465,1964375
Spain,Madrid,46754778,1.28E+12,12009064,104869,505992
South Africa,Pretoria,59308690,3.35E+11,3871085,100630,1221037
Sierra Leone,Freetown,7976983,4063289450,7682,125,71740
Angola,Luanda,32866272,58375976293,99287,1900,1246700
Togo,Lome,8278724,7574636979,37017,273,56785
Gabon,Libreville,2225734,15316826192,47608,304,267668
United Kingdom,London,67886011,2.76E+12,22145161,176835,242900
Latvia,Riga,1886198,33707320816,825470,5796,64559
Somalia,Mogadishu,15893222,6965285325,26485,1361,637657
Hungary,Budapest,9660351,1.56E+11,1909948,46343,93028
Australia,Canberra,25499884,1.33E+12,6442558,7670,7692024
Iceland,Reykjavik,341243,21718075725,186179,120,103000
Qatar,Doha,2881053,1.44E+11,365815,677,11586
Lebanon,Beirut,6825445,31735217785,1097720,10403,10452
Sweden,Stockholm,10099265,5.41E+11,2504894,18897,450295
Japan,Tokyo,126476461,5.06E+12,8260356,29974,377930
Myanmar,Nay Pyi Taw,54409800,79852046611,613088,19434,676578
South Korea,Seoul,51269185,1.64E+12,17727086,23606,100210
Kosovo,Pristina,1790133,7716925356,228143,3129,10887
Singapore,Singapur,5850342,3.40E+11,1232559,1361,710
Belize,Belmopan,397628,1636280797,57787,676,22966
Kenya,Nairobi,53771296,1.01E+11,323952,5649,580367
France,Paris,65273511,2.63E+12,28244891,143901,551695
Kazakhstan,Astana,18776707,1.71E+11,1394683,19015,2724900
Tajikistan,Dushanbe,9537645,8194150302,17786,125,143100
Italy,Rome,60461826,1.89E+12,16915301,164846,301336
Burkina Faso,Ouagadougou,20903273,17933606353,20899,384,272967
Malawi,Lilongwe,19129952,12182348213,85842,2635,118484
Ukraine,Kiev,43733762,1.55E+11,5006460,108449,603500
Zambia,Lusaka,18383955,18110631358,319755,3976,752612
Iraq,Baghdad,40222493,1.67E+11,2326033,25215,438317
Mauritius,Port Louis,1271768,10920606198,223793,996,2040
Costa Rica,San Jose,5094118,61846895121,866164,8444,51100
Cambodia,Phnom Penh,16718965,25808561551,136262,3056,181035
Norway,Oslo,5421241,3.62E+11,1429062,3061,323802
Mongolia,Ulan Bator,3278290,13312981595,922227,2111,1564110
Cote d'Ivoire,Yamoussoukro,26378275,61348579465,81985,799,322463
Poland,Warsaw,37846611,5.97E+11,6002863,116186,312679
Slovak Republic,Bratislava,5459642,1.05E+11,1786579,20018,49037
Vietnam,Hanoi,97338579,2.71E+11,10690471,43063,331212
Uganda,Kampala,45741007,37600368181,164153,3598,241550
Switzerland,Berne,8654622,7.52E+11,3631884,13217,41284
Brazil,Brasilia,212559417,1.44E+12,30617786,664516,8515767
China,Beijing,1439323776,1.47E+13,1552288,15529,9706961
Morocco,Rabat,36910560,1.15E+11,1165455,16071,446550
Nicaragua,Managua,6624554,12621505383,14447,236,130373
Bhutan,Thimphu,771608,2315437338,59564,21,38394
Mozambique,Maputo,31255435,14019446610,225470,2201,801590
Guatemala,Guatemala City,17915568,77604632171,850713,17742,108889
El Salvador,San Salvador,6486205,24638720000,162089,4129,21041
Libya,Tripolis,6871292,25418916029,501919,6430,1759540
Paraguay,Asuncion,7132538,35670301496,649718,18872,406752
Bangladesh,Dhaka,164689383,3.23E+11,1952939,29127,147570
Thailand,Bangkok,69799978,5.02E+11,4361016,29367,513120
Croatia,Zagreb,4105267,57203783203,1129836,15912,56594
Malta,Valletta,441543,14647384608,93354,713,316
Romania,Bucharest,19237691,2.49E+11,2901682,65595,238391
Madagascar,Antananarivo,27691018,13056079982,64236,1393,587041
Argentina,Buenos Aires,45195774,3.89E+11,9101319,128729,2780400
Namibia,Windhoek,2540905,10619194505,159503,4028,825615
Mauritania,Nouakchott,4649658,7913680231,58805,982,1030700
Guinea,Conakry,13132795,15681050917,36597,442,245857
Ghana,Accra,31072940,68532281806,161280,1445,238533
Lithuania,Vilnius,2722289,56546957475,1060423,9128,65300
India,New Delhi,1380004385,2.66E+12,43116254,524190,3287590
Denmark,Copenhagen,5792202,3.56E+11,3126491,6271,43094
Ecuador,Quito,17643054,98808010000,871046,35602,276841
Lesotho,Maseru,2142249,1875227642,33151,697,30355
Serbia,Belgrade,8737371,53335016425,2011825,16042,88361
